# N L
91607 15.3862
98313 9.9597
99912 8.3292
100605 7.4484
11811 6.7749
11913 10.6799
11913 10.5962
11913 10.7769
10828 31.4613
10828 32.0818
10828 31.7524
11672 15.5507
11672 15.4260
11672 15.5250
11802 6.9352
11802 6.9145
11802 6.8798
2330 6.2754
23666 7.0273
23600 6.9547
23600 6.8994
23600 6.9853
2320 6.1239
2320 6.1746
2320 6.2658
5890 6.4733
59218 7.2999
5926 6.5652
5926 6.6340
5926 6.5018
100608 7.3159
100790 6.6515
100881 6.2823
100903 5.9528
100906 5.6632
100912 5.4608
100912 5.2904
2330 6.2388
2320 6.3387
2320 6.1834
2320 6.2885
2338 5.9708
2327 6.4754
2327 6.6217
2327 6.5255
218 5.4258
223 5.4928
223 5.3166
223 5.4809
376 5.5464
5926 6.2997
5926 6.4027
5926 6.3752
5925 6.2935
5869 6.3128
5869 6.3230
5869 6.3786
5890 6.5598
202 5.6427
202 5.6267
202 5.2873
238 5.0073
238 5.1499
238 5.2901
584 7.0884
584 7.3434
584 7.4015
352 5.6795
857 5.7974
312 4.2878
312 4.3069
312 4.2446
284 5.9440
284 5.9323
284 5.9392
365 10.0290
365 9.9184
365 9.5418
671 5.5944
11799 6.6036
11802 6.9687
11802 6.9474
11802 6.8451
11808 6.7375
11808 6.8528
11808 6.9151
11811 6.8860
242 4.9070
242 4.9855
242 4.9340
231 5.5631
231 5.7120
231 5.6059
316 5.3074
239 5.2410
239 5.6414
239 5.4424
237 5.7329
237 5.6564
237 5.7541
411 5.8279
1060 5.7439
1060 5.6824
1060 5.7497
500 5.7285
500 5.5882
500 5.7145
358 4.9928
577 6.0904
577 6.0241
577 5.9824
432 5.2518
432 5.4826
432 5.3617
559 5.7404
388 5.3375
1745 6.2610
1745 6.2393
1745 6.1408
888 5.7910
888 5.8849
888 6.0779
341 5.2013
23600 7.1398
23600 6.8264
23600 6.8220
23643 6.8204
23643 7.0174
23643 6.9159
23611 6.9921
23666 6.9589
226 5.2692
216 4.9114
334 5.4425
215 5.1881
208 4.6675
347 5.5134
355 5.4449
581 5.4900
628 5.6720
589 5.5799
211 5.7359
549 5.7665
849 5.7976
625 5.6545
224 5.1854
1048 6.0716
5081 6.4031
2677 6.2538
949 6.0056
59256 7.1117
59218 7.3106
231 5.5253
248 5.3902
286 5.2200
498 5.6795
436 5.8089
605 5.3860
246 5.5009
308 5.7573
341 5.3480
1277 6.1483
248 5.5823
1457 5.8114
2082 6.2685
429 5.9360
262 5.3094
4047 6.3223
100608 7.4177
