# N k_mean
100913 1.8212
100913 2.1957
100913 2.6903
100913 3.1073
100913 3.5967
1000 37.7540
1000 41.6740
1000 41.6740
1000 41.6740
1000 25.9560
1000 25.9560
1000 25.9560
1000 31.7660
1000 31.7660
1000 31.7660
1000 37.2600
1000 37.2600
1000 37.2600
200 34.0500
2000 39.3320
2000 39.6230
2000 39.6230
2000 39.6230
200 33.5600
200 33.5600
200 33.5600
500 36.2480
5000 41.2808
500 36.7280
500 36.7280
500 36.7280
8480 43.0384
100913 4.0566
100913 4.4659
100913 4.9773
100913 5.4490
100913 5.8372
100913 6.3476
2369 2.8746
2380 2.8202
2380 2.8202
2380 2.8202
2370 2.9333
2379 2.7575
2379 2.7575
2379 2.7575
103 2.2524
114 2.0175
114 2.0175
114 2.0175
226 2.3097
236 2.2881
236 2.2881
236 2.2881
110 2.0364
186 2.2688
186 2.2688
186 2.2688
385 2.5351
5995 3.0632
5995 3.0632
5995 3.0632
6002 3.1130
5914 3.1265
5914 3.1265
5914 3.1265
5970 3.0358
120 2.7667
120 2.7667
120 2.7667
107 2.5794
107 2.5794
107 2.5794
124 3.7097
124 3.7097
124 3.7097
144 2.4306
144 2.4306
144 2.4306
104 2.1346
206 2.6699
206 2.6699
206 2.6699
105 3.1619
105 3.1619
105 3.1619
123 2.2114
245 2.7918
245 2.7918
245 2.7918
144 2.6389
144 2.6389
144 2.6389
203 2.5419
203 2.5419
203 2.5419
158 2.1646
182 2.5824
182 2.5824
182 2.5824
134 2.0896
134 2.0896
134 2.0896
158 2.2278
158 2.2278
158 2.2278
118 3.4407
118 3.4407
118 3.4407
595 2.5782
595 2.5782
595 2.5782
370 2.4811
144 2.3472
144 2.3472
144 2.3472
190 2.0000
190 2.0000
190 2.0000
104 2.1923
104 2.1923
104 2.1923
876 2.6370
312 3.4103
312 3.4103
312 3.4103
293 2.5734
293 2.5734
293 2.5734
120 2.5500
198 2.2222
198 2.2222
198 2.2222
419 2.2243
419 2.2243
419 2.2243
118 2.2542
118 2.2542
118 2.2542
692 2.5751
11888 3.2110
11924 3.1248
11924 3.1248
11924 3.1248
11906 3.1490
11906 3.1490
11906 3.1490
11898 3.1731
122 2.3115
136 2.4706
136 2.4706
136 2.4706
254 2.5984
254 2.5984
254 2.5984
109 2.4587
161 2.3354
161 2.3354
161 2.3354
118 2.4237
246 2.3984
246 2.3984
246 2.3984
330 2.4970
187 2.3743
164 2.3171
164 2.3171
164 2.3171
253 2.4506
253 2.4506
253 2.4506
204 2.4118
255 2.4157
255 2.4157
255 2.4157
421 2.5606
1083 2.7627
1083 2.7627
1083 2.7627
130 2.0308
526 2.5285
526 2.5285
526 2.5285
184 2.4348
184 2.4348
184 2.4348
373 2.5630
159 2.1258
595 2.5714
595 2.5714
595 2.5714
454 2.5947
454 2.5947
454 2.5947
578 2.6817
397 2.6700
1776 2.8063
1776 2.8063
1776 2.8063
916 2.7795
916 2.7795
916 2.7795
155 2.2452
356 2.6180
23744 3.3375
23744 3.3375
23744 3.3375
23803 3.3442
23803 3.3442
23803 3.3442
23785 3.2795
23836 3.3002
121 2.5455
147 2.3129
137 2.4088
237 2.4810
126 2.1270
223 2.5830
139 2.2158
142 2.2254
109 2.1101
146 2.4384
344 2.5640
166 2.4337
227 2.5903
122 2.3770
170 2.2000
216 2.7593
360 2.5556
100 2.1000
102 2.3725
369 2.6016
127 2.2835
148 2.3378
603 2.6136
153 2.0784
645 2.6760
616 2.6299
222 2.1802
564 2.5284
864 2.7315
646 2.6347
239 2.4100
1068 2.7416
5151 3.0293
2710 2.9380
972 2.6852
59517 3.4978
59517 3.4680
185 2.1297
114 2.2105
106 2.4906
123 2.1301
128 2.3281
100 2.3200
131 2.1527
149 2.5369
100 2.1400
246 2.4146
171 2.3860
257 2.4047
182 2.3077
302 2.4768
514 2.5992
184 2.2391
450 2.5067
164 2.5244
618 2.7120
258 2.4264
324 2.4444
352 2.6250
1301 2.7825
265 2.2264
1481 2.8440
2104 2.8717
445 2.5079
271 2.3026
4104 3.0458
100913 3.6166
