# N k_mean lambda1
91607 2.7908 15.3988
98313 3.6495 15.5454
99912 4.4356 15.5332
100605 5.3853 15.4661
11811 4.5764 16.4725
11913 5.1102 13.1243
11913 5.1102 13.1243
11913 5.1102 13.1243
10828 2.7226 13.5067
10828 2.7226 13.5067
10828 2.7226 13.5067
11672 3.5595 14.4625
11672 3.5595 14.4625
11672 3.5595 14.4625
11802 4.4648 13.8154
11802 4.4648 13.8154
11802 4.4648 13.8154
2330 3.9803 12.9440
23600 4.8685 18.3321
23600 4.8685 18.3321
23600 4.8685 18.3321
2320 3.9181 13.8257
2320 3.9181 13.8257
2320 3.9181 13.8257
5890 4.2975 13.7365
59218 5.1337 14.0234
5926 4.3503 12.9404
5926 4.3503 12.9404
5926 4.3503 12.9404
100608 5.4161 17.1289
100790 6.2935 15.5170
100881 7.1050 15.6469
100903 8.1235 15.7120
100906 9.0636 15.7928
100912 9.8373 15.9675
100912 10.8508 16.0281
2330 3.9803 12.9440
2320 3.9181 13.8257
2320 3.9181 13.8257
2320 3.9181 13.8257
2338 4.0770 12.1550
2327 3.7877 11.5615
2327 3.7877 11.5615
2327 3.7877 11.5615
106 2.6604 8.0302
106 2.6604 8.0302
106 2.6604 8.0302
218 2.9266 8.4667
223 3.0493 11.4864
223 3.0493 11.4864
223 3.0493 11.4864
175 2.9371 12.7393
175 2.9371 12.7393
175 2.9371 12.7393
376 3.2713 10.2445
5926 4.3503 12.9404
5926 4.3503 12.9404
5926 4.3503 12.9404
5925 4.4044 14.5043
5869 4.4423 16.4034
5869 4.4423 16.4034
5869 4.4423 16.4034
5890 4.2975 13.7365
118 3.5763 12.4840
118 3.5763 12.4840
118 3.5763 12.4840
105 2.9524 8.6791
105 2.9524 8.6791
105 2.9524 8.6791
124 5.2581 10.1317
124 5.2581 10.1317
124 5.2581 10.1317
141 3.2482 9.7218
141 3.2482 9.7218
141 3.2482 9.7218
202 3.1980 8.7347
202 3.1980 8.7347
202 3.1980 8.7347
104 4.6346 9.6109
104 4.6346 9.6109
104 4.6346 9.6109
109 3.0459 10.9588
238 3.7059 9.2872
238 3.7059 9.2872
238 3.7059 9.2872
140 3.2286 10.0285
140 3.2286 10.0285
140 3.2286 10.0285
194 3.2165 10.0844
194 3.2165 10.0844
194 3.2165 10.0844
150 2.8133 10.3366
176 3.1818 10.0817
176 3.1818 10.0817
176 3.1818 10.0817
122 2.5902 12.0393
122 2.5902 12.0393
122 2.5902 12.0393
150 2.8400 9.3785
150 2.8400 9.3785
150 2.8400 9.3785
118 4.7797 8.7737
118 4.7797 8.7737
118 4.7797 8.7737
584 3.4281 11.0519
584 3.4281 11.0519
584 3.4281 11.0519
352 3.2955 9.7954
139 2.9640 11.4823
139 2.9640 11.4823
139 2.9640 11.4823
166 2.6024 11.1673
166 2.6024 11.1673
166 2.6024 11.1673
857 3.6429 11.5929
312 4.9487 11.5064
312 4.9487 11.5064
312 4.9487 11.5064
284 3.4577 11.0354
284 3.4577 11.0354
284 3.4577 11.0354
114 3.1754 7.3917
190 2.9474 8.4136
190 2.9474 8.4136
190 2.9474 8.4136
365 2.8329 11.2554
365 2.8329 11.2554
365 2.8329 11.2554
108 2.8704 10.8799
108 2.8704 10.8799
108 2.8704 10.8799
671 3.5142 13.1411
11799 4.6256 14.3380
11802 4.4648 13.8154
11802 4.4648 13.8154
11802 4.4648 13.8154
11808 4.5069 13.8657
11808 4.5069 13.8657
11808 4.5069 13.8657
11811 4.5764 16.4725
117 2.8718 10.3947
133 3.0827 8.7775
133 3.0827 8.7775
133 3.0827 8.7775
242 3.3884 11.0194
242 3.3884 11.0194
242 3.3884 11.0194
103 2.9903 8.2229
148 3.0676 8.8497
148 3.0676 8.8497
148 3.0676 8.8497
115 2.9565 8.6702
231 3.1169 9.6169
231 3.1169 9.6169
231 3.1169 9.6169
316 3.3038 10.2605
177 3.0847 8.6642
154 2.9091 9.0112
154 2.9091 9.0112
154 2.9091 9.0112
239 3.1715 10.6301
239 3.1715 10.6301
239 3.1715 10.6301
197 3.0863 7.5395
237 3.1646 11.0372
237 3.1646 11.0372
237 3.1646 11.0372
411 3.3041 9.7713
1060 3.7604 11.7498
1060 3.7604 11.7498
1060 3.7604 11.7498
117 2.6838 10.6631
500 3.4160 10.9863
500 3.4160 10.9863
500 3.4160 10.9863
175 3.0629 10.5664
175 3.0629 10.5664
175 3.0629 10.5664
358 3.4078 9.3398
148 2.7027 9.2775
577 3.3692 11.0547
577 3.3692 11.0547
577 3.3692 11.0547
432 3.5185 12.4252
432 3.5185 12.4252
432 3.5185 12.4252
559 3.5528 10.9783
388 3.4742 9.7960
1745 3.8338 14.3269
1745 3.8338 14.3269
1745 3.8338 14.3269
888 3.7005 13.6085
888 3.7005 13.6085
888 3.7005 13.6085
147 2.9388 9.2955
341 3.4721 9.3874
23600 4.8685 18.3321
23600 4.8685 18.3321
23600 4.8685 18.3321
23643 4.8860 16.6645
23643 4.8860 16.6645
23643 4.8860 16.6645
23611 4.7675 14.7725
23666 4.7976 13.8265
114 3.2281 9.1164
141 2.8511 9.8952
131 3.0076 9.9300
226 3.2124 10.1908
118 2.7119 7.4873
216 3.2778 10.4620
127 2.8819 9.4623
138 2.8406 9.6502
100 2.6400 8.1725
140 3.0857 7.8502
334 3.2814 9.3537
159 3.1321 10.0810
215 3.2837 7.1697
115 2.9913 8.7047
159 2.9182 10.3003
208 3.4712 9.6312
347 3.3026 9.2932
355 3.3465 11.8294
120 2.9167 9.3177
136 3.0735 12.1375
581 3.4905 9.9186
141 2.7660 8.8335
628 3.5446 10.3025
589 3.5348 11.6723
211 2.8815 8.5514
549 3.3880 9.7744
849 3.6631 11.0903
625 3.5680 11.8266
224 3.1786 11.1993
1048 3.7156 11.9850
5081 4.2901 12.3805
2677 4.0672 12.3207
949 3.5701 10.5391
59256 5.1907 14.0036
59218 5.1337 14.0234
168 2.8214 11.9580
105 2.7238 7.3313
104 3.0000 7.3313
117 2.7350 9.7817
123 2.8943 10.1330
121 2.8264 8.8208
140 3.2714 7.3204
231 3.1082 10.3159
156 3.0769 10.4814
248 3.1129 9.3510
173 2.9711 11.9062
286 3.3217 10.8292
498 3.4458 10.4219
166 3.0482 9.9366
436 3.3211 10.0589
161 3.1429 8.7607
605 3.6132 10.8967
246 3.1626 10.2531
308 3.1883 10.5245
341 3.3548 9.5921
1277 3.6946 11.8907
248 2.9919 10.5424
1457 3.8902 11.8995
2082 3.9625 12.3702
429 3.2681 10.6080
262 3.0916 12.3169
4047 4.2763 11.7146
100608 5.4161 17.1289
