# N L C C_rand S
11924 6.9618 0.0311 0.0004 76.0857
11924 7.0880 0.0251 0.0004 60.4097
11906 6.8948 0.0350 0.0004 84.8099
11906 6.8781 0.0276 0.0004 66.8774
11906 6.8322 0.0335 0.0004 81.9243
11898 6.6684 0.0175 0.0004 42.6878
122 5.0518 0.0515 0.0229 2.1009
136 4.7798 0.0733 0.0223 3.0566
136 4.7439 0.0733 0.0223 3.0797
136 4.7350 0.0733 0.0223 3.0855
254 4.9129 0.0692 0.0128 5.1696
254 4.9464 0.0692 0.0128 5.1346
254 4.9319 0.0692 0.0128 5.1497
109 5.4349 0.1333 0.0263 4.1795
161 4.9596 0.0843 0.0179 4.6067
161 4.9095 0.0843 0.0179 4.6536
161 4.9125 0.0843 0.0179 4.6508
118 5.1783 0.1056 0.0246 3.7314
246 5.5973 0.0809 0.0120 6.1677
246 5.6689 0.0809 0.0120 6.0898
246 5.5671 0.0809 0.0120 6.2012
330 5.4078 0.0508 0.0096 4.9219
187 5.2654 0.0621 0.0158 3.6446
164 5.5430 0.0503 0.0170 2.6738
164 5.4179 0.0503 0.0170 2.7356
164 5.4051 0.0503 0.0170 2.7420
253 5.3368 0.0459 0.0120 3.6103
253 5.2778 0.0459 0.0120 3.6506
253 5.2572 0.0459 0.0120 3.6650
204 5.2907 0.0396 0.0147 2.4844
255 5.6455 0.0841 0.0116 6.6058
255 5.5010 0.0841 0.0116 6.7793
255 5.5698 0.0841 0.0116 6.6955
421 5.8643 0.0615 0.0077 7.0444
1083 5.8500 0.0535 0.0034 14.4137
1083 5.9253 0.0630 0.0034 16.7421
1083 5.8549 0.0646 0.0034 17.3853
130 5.8392 0.0517 0.0191 2.5050
526 5.7012 0.0517 0.0062 7.7657
526 5.6419 0.0591 0.0062 8.9641
526 5.6832 0.0529 0.0062 7.9771
184 5.3318 0.0523 0.0159 3.0047
184 5.3832 0.0523 0.0159 2.9760
184 5.3152 0.0523 0.0159 3.0141
373 5.1865 0.0455 0.0088 4.9739
159 5.7745 0.0912 0.0162 5.2840
595 6.0252 0.0568 0.0055 9.2298
595 6.2116 0.0643 0.0055 10.1425
595 6.0218 0.0564 0.0055 9.1745
454 5.3503 0.0776 0.0074 9.8358
454 5.3807 0.0746 0.0074 9.4073
454 5.3796 0.0673 0.0074 8.4914
578 5.5483 0.0534 0.0060 8.3203
397 5.4268 0.0644 0.0086 6.7721
1776 6.2604 0.0481 0.0021 20.4037
1776 6.1936 0.0415 0.0021 17.8051
1776 6.2860 0.0409 0.0021 17.3016
916 5.8634 0.0491 0.0039 11.3984
916 5.9328 0.0448 0.0039 10.2876
916 5.8603 0.0564 0.0039 13.0976
155 5.1532 0.0492 0.0181 2.5961
356 5.2333 0.0589 0.0094 5.8407
23744 6.9302 0.0329 0.0002 148.6034
23744 6.9413 0.0237 0.0002 106.9739
23744 6.9247 0.0304 0.0002 137.7681
23803 6.9941 0.0179 0.0002 80.2326
23803 6.8770 0.0329 0.0002 149.8818
23803 7.0454 0.0277 0.0002 122.9261
23785 6.9285 0.0303 0.0002 142.2947
23836 7.1190 0.0223 0.0002 101.2650
121 4.6035 0.1162 0.0255 4.2488
147 5.7008 0.1061 0.0187 4.9304
137 5.0157 0.0762 0.0211 3.3447
237 5.1937 0.0557 0.0130 4.0364
126 5.8293 0.0622 0.0204 2.6902
223 5.0864 0.0808 0.0143 5.1961
139 5.3586 0.0975 0.0194 4.7041
142 5.6142 0.1063 0.0196 4.7201
109 6.0654 0.0450 0.0226 1.7258
146 4.9155 0.0841 0.0204 3.8532
344 5.6144 0.0708 0.0093 6.8474
166 4.8922 0.0648 0.0182 3.3904
227 5.2800 0.0968 0.0139 6.2681
122 4.9016 0.0351 0.0234 1.4060
170 5.3436 0.0644 0.0162 3.8155
216 4.9154 0.0808 0.0155 4.7084
360 5.3779 0.0507 0.0089 5.3829
100 4.9019 0.0519 0.0259 2.0059
102 5.3684 0.1025 0.0266 3.3610
369 5.4308 0.0759 0.0088 8.0535
127 4.8011 0.0932 0.0220 4.1941
148 4.8484 0.1160 0.0193 5.9368
603 5.6720 0.0571 0.0056 9.4471
153 5.4089 0.0820 0.0168 4.8604
645 5.7579 0.0481 0.0054 8.1087
616 5.6808 0.0484 0.0055 8.1327
222 5.7438 0.0674 0.0124 5.0792
564 5.7223 0.0442 0.0059 6.9933
864 5.7902 0.0374 0.0042 8.1663
646 5.6933 0.0538 0.0054 9.1696
239 5.2024 0.0934 0.0126 7.0827
1068 6.0998 0.0564 0.0034 14.5821
5151 6.5156 0.0185 0.0008 20.4442
2710 6.2390 0.0417 0.0015 25.5996
972 6.0416 0.0414 0.0036 10.5077
59517 7.1958 0.0149 0.0001 159.3790
