# r A(r) V(r) deg_mean deg_std R_eff cycle_dens
0 1 1 11.000 0.000 0.564 0.000000
1 11 12 7.364 2.672 1.871 0.000000
2 70 82 5.843 2.102 4.720 0.060976
3 312 394 5.859 2.114 9.966 0.139594
4 1347 1741 5.564 1.959 20.707 0.236646
5 4746 6487 5.419 1.982 38.868 0.565284
6 9791 16278 5.013 1.939 55.826 1.168387
7 6321 22599 4.020 1.754 44.856 1.390991
8 942 23541 2.590 1.349 17.316 1.386899
9 69 23610 1.377 0.639 4.687 1.383863
10 1 23611 1.000 0.000 0.564 1.383804
