# r A(r) V(r) deg_mean deg_std R_eff cycle_dens
0 1 1 13.000 0.000 0.564 0.000000
1 13 14 7.231 1.887 2.034 0.500000
2 63 77 5.635 2.284 4.478 0.233766
3 265 342 5.453 1.938 9.184 0.198830
4 995 1337 5.271 1.977 17.797 0.322364
5 2963 4300 5.069 1.873 30.711 0.677209
6 4827 9127 4.580 1.813 39.198 1.135970
7 2382 11509 3.515 1.636 27.536 1.266835
8 281 11790 1.950 1.001 9.458 1.255301
9 17 11807 1.176 0.513 2.326 1.253663
10 1 11808 1.000 0.000 0.564 1.253557
