# r curvature count
0 0.0000 0
1 -14.1538 13
2 -9.1569 51
3 -8.9732 224
4 -9.1884 934
5 -8.7796 3248
6 -8.1569 5902
7 -6.8291 2358
8 -4.5197 152
9 -2.0000 7
10 -1.0000 1
