# r curvature count
0 0.0000 0
1 -19.5000 14
2 -12.8557 97
3 -11.3881 536
4 -11.0335 2896
5 -10.8636 14813
6 -10.4764 57092
7 -9.2913 65763
8 -7.2290 10396
9 -4.5614 383
10 -1.4615 13
