# r curvature count
0 0.0000 0
1 -14.4000 20
2 -10.9054 74
3 -9.6603 315
4 -9.5214 1358
5 -9.2643 5444
6 -8.6803 12283
7 -7.3053 6594
8 -4.6966 501
9 -2.0000 19
10 -1.0000 1
