# r A(r) V(r) deg_mean deg_std R_eff cycle_dens
0 1 1 14.000 0.000 0.564 0.000000
1 14 15 6.286 1.906 2.111 0.066667
2 69 84 5.522 2.110 4.687 0.226190
3 272 356 5.548 1.985 9.305 0.210674
4 1039 1395 5.393 1.974 18.186 0.354122
5 3029 4424 5.117 1.916 31.051 0.730787
6 4704 9128 4.687 1.855 38.695 1.178352
7 2395 11523 3.711 1.668 27.611 1.322919
8 265 11788 2.023 1.185 9.184 1.314133
9 9 11797 1.222 0.416 1.693 1.313130
10 2 11799 1.000 0.000 0.798 1.312908
