# r A(r) V(r) deg_mean deg_std R_eff cycle_dens
0 1 1 11.000 0.000 0.564 0.000000
1 11 12 5.545 1.499 1.871 0.000000
2 49 61 5.490 1.939 3.949 0.163934
3 186 247 5.339 1.834 7.695 0.230769
4 664 911 5.152 1.911 14.538 0.383095
5 1751 2662 4.839 1.806 23.608 0.773854
6 2173 4835 4.105 1.727 26.300 1.104447
7 891 5726 3.192 1.480 16.841 1.162242
8 147 5873 2.027 1.081 6.840 1.151541
9 16 5889 1.312 0.464 2.257 1.149092
10 1 5890 1.000 0.000 0.564 1.148896
