# r A(r) V(r) deg_mean deg_std R_eff cycle_dens
0 1 1 13.000 0.000 0.564 0.000000
1 13 14 5.923 2.165 2.034 0.142857
2 58 72 5.466 1.684 4.297 0.111111
3 240 312 5.325 2.013 8.740 0.176282
4 836 1148 5.127 2.007 16.313 0.432056
5 1979 3127 4.848 1.850 25.099 0.865686
6 2123 5250 4.134 1.749 25.996 1.197524
7 576 5826 2.884 1.456 13.541 1.227085
8 37 5863 1.676 0.773 3.432 1.222582
9 5 5868 1.200 0.400 1.262 1.221541
10 1 5869 1.000 0.000 0.564 1.221332
