# r A(r) V(r) deg_mean deg_std R_eff cycle_dens
0 1 1 14.000 0.000 0.564 0.000000
1 14 15 7.500 2.719 2.111 0.000000
2 91 106 6.407 2.123 5.382 0.056604
3 474 580 6.278 2.091 12.283 0.117241
4 2272 2852 6.044 2.057 26.892 0.242637
5 8963 11815 5.891 2.071 53.414 0.553703
6 22912 34727 5.521 2.027 85.400 1.172632
7 20428 55155 4.639 1.893 80.638 1.560276
8 3810 58965 3.184 1.612 34.825 1.571152
9 240 59205 1.700 0.954 8.740 1.567199
10 13 59218 1.000 0.000 2.034 1.566855
