# r curvature count
0 0.0000 0
1 -15.9231 13
2 -11.8800 75
3 -10.7339 372
4 -10.3895 1797
5 -10.2683 8832
6 -9.6820 26479
7 -8.3530 18549
8 -5.9484 1588
9 -3.2353 51
10 -1.2500 4
