# r A(r) V(r) deg_mean deg_std R_eff cycle_dens
0 1 1 15.000 0.000 0.564 0.000000
1 15 16 6.600 2.332 2.185 0.125000
2 77 93 6.013 1.762 4.951 0.139785
3 356 449 5.694 1.993 10.645 0.122494
4 1485 1934 5.616 2.028 21.741 0.273009
5 5066 7000 5.513 1.987 40.157 0.642429
6 9902 16902 5.072 1.932 56.142 1.222755
7 5969 22871 4.039 1.742 43.589 1.444406
8 692 23563 2.377 1.254 14.842 1.436405
9 30 23593 1.333 0.537 3.090 1.434705
10 7 23600 1.000 0.000 1.493 1.434280
