# r curvature count
0 0.0000 0
1 -15.0667 15
2 -10.3750 64
3 -9.3171 287
4 -9.3821 1277
5 -8.9959 4190
6 -8.0735 5703
7 -6.2218 1438
8 -4.0357 56
9 -1.4000 5
10 -1.0000 1
