# r A(r) V(r) deg_mean deg_std R_eff cycle_dens
0 1 1 11.000 0.000 0.564 0.000000
1 11 12 6.909 1.443 1.871 0.083333
2 59 71 5.661 1.865 4.334 0.140845
3 251 322 5.378 1.961 8.938 0.170807
4 929 1251 5.313 1.994 17.196 0.345324
5 2713 3964 5.077 1.862 29.387 0.676337
6 4496 8460 4.623 1.822 37.830 1.107329
7 2735 11195 3.655 1.639 29.506 1.244663
8 540 11735 2.478 1.292 13.111 1.237580
9 62 11797 1.468 0.712 4.442 1.233025
10 5 11802 1.000 0.000 1.262 1.232503
