# N r logT logT_std
5000 0 6.258891839233631 0.15840819502565032
5000 1 6.1703166599345565 0.16851438145775322
5000 2 6.132844919282037 0.23158080883822307
5000 3 6.261189179685654 0.1716139597351273
5000 4 6.220443026200038 0.23214012846064153
5000 5 6.182591446322639 0.2515805721951702
5000 6 6.177585958739999 0.1668513398876554
5000 7 6.283721008288294 0.15011083563680175
5000 8 6.124109547825612 0.14158644255881195
5000 9 5.229518582358442 0.24707380924745787
5970 0 6.277034894684211 0.23584100257902163
5970 1 6.178734899894155 0.21591575382650452
5970 2 6.275783156955832 0.19095850323631786
5970 3 6.015447716888016 0.4204068757133835
5970 4 6.127362573597067 0.19308739770213004
5970 5 6.191836341646323 0.22788964576123125
5970 6 6.167867582288374 0.22225042827697986
5970 7 6.204129099277137 0.3498100080121881
5970 8 5.816878824774416 0.2603228805417276
5970 9 4.548613635041261 0.5484375933509489
11888 0 6.122343466700814 0.16981722448754966
11888 1 6.1529609775707055 0.20192941680332097
11888 2 6.1469300084895515 0.23069446218325068
11888 3 6.172678836766849 0.19496050783869903
11888 4 6.189134722782326 0.2409070585650336
11888 5 6.147487283067989 0.25145165581221063
11888 6 6.282754463575585 0.19952926296825213
11888 7 6.197801625787603 0.263132606170041
11888 8 6.010788375900648 0.33779510510461375
11888 9 4.013990048925096 0.31056256222586964
11924 0 6.270359950557679 0.09991410532177343
11924 1 6.197120326606403 0.07062730035610176
11924 2 6.3033560278111604 0.06850335988719239
11924 3 6.297478852971896 0.1229566069259369
11924 4 6.2627010787371225 0.13380284980305143
11924 5 6.177486460295855 0.10411643521554588
11924 6 6.20828768892501 0.10386887096351584
11924 7 6.12786619547809 0.13397828113803692
11924 8 6.093435263795199 0.148164177908736
11924 9 5.4648665924475415 0.1684101541368507
23785 0 6.365754269229151 0.33906719184081946
23785 1 6.168529255297664 0.47128842998558557
23785 2 5.9974362641924905 0.5730179570393155
23785 3 6.322678937832074 0.23621115147413002
23785 4 6.352792710509211 0.30206373017329635
23785 5 6.3013781268451545 0.2721888592011198
23785 6 6.086796371699702 0.489719106908612
23785 7 6.033854201096668 0.32748426872784825
23785 8 5.518285511220353 0.7182801488573322
23785 9 5.609894986050353 0.6666188547709414
59517 0 6.298034483281863 0.1765912785337932
59517 1 6.205686099476994 0.1329237859026782
59517 2 6.386566073402145 0.09882225260273214
59517 3 6.249519471327871 0.22000125505751394
59517 4 6.304148054958881 0.1526540615498653
59517 5 6.221800122973423 0.15510807515609323
59517 6 6.042574820599601 0.28428671916561293
59517 7 6.146082400509953 0.18900913452694115
59517 8 6.022351187206378 0.20740033926009463
59517 9 5.275991203827956 0.25969870793086175
100913 0 6.204641779956485 0.12336888341905652
100913 1 6.144227722171506 0.2341510759474815
100913 2 6.237581146617518 0.19526972072734752
100913 3 6.30982006403727 0.11812314501151275
100913 4 6.334128899814636 0.1743315124758023
100913 5 6.249556065783924 0.19926915031287784
100913 6 6.1318495151377395 0.11995417351908798
100913 7 6.1527358493459 0.1785035753198648
100913 8 5.879562791801516 0.195881629586597
100913 0 6.173160908508018 0.3269820872735052
100913 1 6.258305953687911 0.4007038026349456
100913 2 6.52512740477673 0.27069485019818185
100913 3 6.081647971165961 0.5427511714616705
100913 4 6.321068009523319 0.17351974971223388
100913 5 6.2716183531389715 0.6154986704105546
100913 6 6.2200219882662715 0.5915386433158044
100913 7 6.453624998892692 0.364132153461419
100913 8 6.476395273328606 0.22796500815728576
100913 9 5.553605371188813 0.8801370655829869
100913 10 1.5997822114933036 1.6514664102267478
