# r curvature count
0 0.0000 0
1 -20.3043 23
2 -12.5086 116
3 -11.1517 613
4 -11.5404 3370
5 -11.5200 18686
6 -11.1098 83419
7 -10.1482 133915
8 -8.4413 31518
9 -4.8929 775
10 -1.9167 12
11 -1.0000 2
