# r curvature count
0 0.0000 0
1 -18.1176 17
2 -11.1591 88
3 -10.1382 398
4 -10.1226 1958
5 -10.1057 9035
6 -9.6123 26072
7 -8.2869 18337
8 -5.8283 1503
9 -2.4242 33
10 -1.2857 7
