# r A(r) V(r) deg_mean deg_std R_eff cycle_dens
0 1 1 12.000 0.000 0.564 0.000000
1 12 13 6.917 2.629 1.954 0.076923
2 68 81 6.044 2.323 4.652 0.098765
3 320 401 5.881 2.004 10.093 0.149626
4 1389 1790 5.806 2.057 21.027 0.261453
5 5042 6832 5.502 2.075 40.061 0.623244
6 10081 16913 5.064 1.926 56.647 1.221309
7 5972 22885 4.098 1.778 43.600 1.452174
8 715 23600 2.445 1.299 15.086 1.445169
9 39 23639 1.436 0.672 3.523 1.443293
10 4 23643 1.000 0.000 1.128 1.443049
