# r A(r) V(r) deg_mean deg_std R_eff cycle_dens
0 1 1 12.000 0.000 0.564 0.000000
1 12 13 5.167 1.675 1.954 0.076923
2 46 59 5.304 1.816 3.827 0.101695
3 184 243 5.304 1.952 7.653 0.189300
4 657 900 5.059 1.870 14.461 0.358889
5 1713 2613 4.781 1.845 23.351 0.711060
6 2305 4918 4.288 1.798 27.087 1.109191
7 907 5825 3.208 1.537 16.991 1.185579
8 93 5918 1.817 1.126 5.441 1.176918
9 7 5925 1.143 0.350 1.493 1.175527
10 1 5926 1.000 0.000 0.564 1.175329
